acl 2.2.52-4
adwaita-icon-theme 3.24.0-1
alembic 1.7.3-2
alsa-lib 1.1.4.1-2
alsa-plugins 1.1.4-1
alsa-utils 1.1.4-1
arandr 0.1.9-2
archlinux-keyring 20170823-1
asciidoc 8.6.9-3
aspell 0.60.6.1-5
at-spi2-atk 2.24.1-1
at-spi2-core 2.24.1-1
atk 2.24.0-2
atkmm 2.24.2+1+gf30b47f-2
attr 2.4.47-3
autoconf 2.69-4
autoconf2.13 2.13-4
automake 1.15.1-1
avahi 0.7-1
babl 0.1.30-1
bash 4.4.012-2
binutils 2.29.0-1
blas 3.7.1-2
blender 17:2.79-4
blosc 1.12.1-1
bluez-libs 5.47-2
boost 1.65.1-1
boost-libs 1.65.1-1
bubblewrap 0.1.8-1
bzip2 1.0.6-6
c-ares 1.13.0-1
ca-certificates 20170307-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.33-1
ca-certificates-utils 20170307-1
cairo 1.15.8-2
cairomm 1.12.2-2
cantarell-fonts 1:0.0.25-3
capstone 3.0.4-5
cblas 3.7.1-2
cdparanoia 10.2-5
clang 5.0.0-1
cmake 3.9.3-1
codeblocks 16.01-10
compositeproto 0.4.2-3
compton 0.1_beta2.5-8
confuse 3.2.1-1
conky 1.10.6-2
coreutils 8.28-1
cracklib 2.9.6-1
cronie 1.5.1-1
cryptsetup 1.7.5-1
curl 7.55.1-2
cyberfox-bin 52.3.0-1
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.10.24-1
dbus-glib 0.108-1
dconf 0.26.0+1+g701d19d-1
desktop-file-utils 0.23-1
desmume 0.9.11-4
device-mapper 2.02.174-2
dhcpcd 6.11.5-1
diffutils 3.6-1
dkms 2.4.0-2
dnscrypt-proxy 1.9.4-1
dnssec-anchors 20170711-1
docbook-xml 4.5-6
docbook-xsl 1.79.2-3
dolphin-emu 1:5.0-4
double-conversion 3.0.0-1
e2fsprogs 1.43.6-1
enchant 1.6.1-2
enet 1.3.13-1
expat 2.2.4-1
extra-cmake-modules 5.38.0-1
fakeroot 1.22-1
feh 2.20-1
ffmpeg 1:3.3.4-1
fftw 3.3.6-2
file 5.32-1
filesystem 2017.03-2
findutils 4.6.0-2
firefox 55.0.3-3
firejail 0.9.50-1
fixesproto 5.0+9+g4292ec1-1
flac 1.3.2-1
fontconfig 2.12.6-1
fontsproto 2.1.3-2
freetype2 2.8.1-1
fribidi 0.19.7-1
gamin 0.1.10-8
gawk 4.1.4-2
gc 7.6.0-1
